star_point,comment,photo
4,"배송은 2일 정도 걸렸고 이 키보드로 연결해서 리뷰 작성합니다. 사진 속 아이패드는 6세대 9.7이에요.
우선 연결이 쉽고 빠르고 타자감도 손이 여자치고 큰 편인 저도 불편함 없이 만족합니다. 자판 치는 소리가 좀 커서 도서관이나 조용한 사무실에서는 쓰기 좀 그렇네요. 무게도 굉장히 가볍고 얇아서 수납하기 참 편한 것 같습니다. 타자 치는 데로 바로바로 입력도 잘 되고, 키보드 들뜸도 없고 양 끝에 자석이 있어서 접을 때 착 달라붙어요.
그래도 타자에 적응은 좀 필요하고, 키보드 케이스의 지지대는 쓸만 한 것 같은데 폰 지지대 쪽이 여닫을 때 좀 시끄럽네요. 지지대 자체도 잘 움직이구요. 고무같은거 달리면 좋을 것 같아요. 지지대 안쪽 부분은 별다른 처리 없이 그냥 매끈한 플라스틱입니다. 패드를 조심해서 빼지 않으면 기스날 정도긴 해요. 저는 앞뒤 필름 다 붙여서 괜찮습니다. 또 케이스라고는 하지만 잘 빠져요. 그리고 같이 온 파우치가 처음 받았을 때 냄새가 좀 나서 한 번 빨아서 써야 할 것 같고, 또 파우치가 잘 안 오므려져서 이거 역시 키보드가 잘 빠질 것 같아요.
사은품으로 온 스피커도 생각외로 음질 괜찮구 전체적으로 굉장히 만족합니당~ 한 달 써 보고 다시 리뷰 올려 볼게요!
파우치의 냄새나 키보드 파우치의 완성도가 부족해서 하나 깎았습니다. 케이스랑 파우치 없이 가지고 다니실 분은 사셔도 좋을 것 같아요! 두서없이 썼지만 굉장히 만족합니당",['https://phinf.pstatic.net/checkout/20200603_13/1591180824879ygime_JPEG/B59E5466-3455-476F-934B-2B68AD9EB221.jpeg?type=f287']
5,넘 좋아요. 일전에 브리츠꺼인 줄 모르고 타사 저렴이 버전으로 사서 쓰다 분실해서 이거로 샀어요. 이게 만원이상 더 비싼데 더 비싼값을 하네요. 이전꺼는 타자빨리치면 버벅거려서 짜증났었거든요. 그리고 그건 한쪽 수평이 안 맞아서 타자칠 때 딱딱 소리나서 아래 테이프로 붙이고 다녔었는데 이건 전혀 그런 게 없어요. 타자감도 좋아요. 게다가 파우치가 별도로 있어서 더 좋으네요. 폰이나 패드거치도 할 수있고요. 전 아주 만족합니다.,"['https://phinf.pstatic.net/checkout/20200901_200/1598914580866vYYCs_JPEG/review-attachment-e60f917a-54d6-44ea-8c6b-776485becedd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_155/1598914629175vbHxl_JPEG/review-attachment-1a27076c-9bd8-46e8-9a52-e3297d9ce929.jpeg?type=f287']"
5,"배송 완전 빨랐구요 블루투스 연결도 쉽고 빠르네요
포장도 잘되어있고 정품인증 테이프도 있고요
커버와 거치대기능도 유용하게 쓸 수 있게 되어있어요.
증정이벤트로 온 스피커의 음질도 빵빵하게 잘 나와서
놀랐어요 ^^ 특템!!
핸드폰과 연결해서 잘 쓰고 있답니다 좋아요!!","['https://phinf.pstatic.net/checkout/20200524_144/1590312555146E6V6q_JPEG/KakaoTalk_20200524_182530178_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200524_246/1590312555177o4gnP_JPEG/KakaoTalk_20200524_182530178_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200524_263/15903125551940lnOz_JPEG/KakaoTalk_20200524_182530178_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200524_137/1590312555276UIYJG_JPEG/KakaoTalk_20200524_182530178_05.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200524_155/15903125552343xbsS_JPEG/KakaoTalk_20200524_182530178_04.jpg?type=f287']"
5,"키보드 이용해서 후기 작성 중입니다. 키감도 좋고 배송도 아주 빨라서 좋습니다.
레이아웃이 일반적인 키보드와는 조금 달라서 적응이 조금 필요할 것 같기는 한데
키보드 키 크기도 작지는 않아서 금방 적응할 수 있을 것 같네요
좋은 제품 많이 파시고 번창하세요~","['https://phinf.pstatic.net/checkout/20201022_271/1603332038019LFqYE_JPEG/review-attachment-a9df31da-d8ba-46a2-a0b3-3736d5e53851.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201022_265/1603332050276YhRwJ_JPEG/review-attachment-ff8af1de-2941-4fce-9598-64c3ea9a42c9.jpeg?type=f287']"
5,"딱 이렇게 생긴 블루투스 키보드를 찾고있었어요!! 작아서 불편하다는 사람도 있는데, 제 손이 큰편인데도 불편한건 잘 못느끼겠더라구용 오히려 작고 가벼워서 휴대하기도 좋은거같아용. 색깔이 흰색이라 깔끔하고, 충전해서 사용해봤는데 아주 잘 써집니다ㅋㅋ! 물음표 위치가 익숙하지 않은 곳에 있어서 좀 적응해야겠지만 이 가격에 이정도 퀄리티면 전 만족합니당~ 고장안나고 오래쓰길😆 같이온 브리츠 스피커 크기나 색깔도 너무 귀엽고 소리도 빵빵하네요 소리를 아주 작게 줄여도 크게 느껴진다는ㅋㅋㅋ",['https://phinf.pstatic.net/checkout/20200602_42/1591087349688yW6jH_JPEG/83C69772-579B-471E-81CF-B8DD34068B56.jpeg?type=f287']
5,"저는 사실 브리츠에서 키보드도 나오는지 몰랐다가 로지택을 사려 했거든요. 근데 로지텍은 원래 가격보다 훨씬 오르고 화이트색상 구하기도 힘들고 일단 접이식도 아니여서 좀 그랬는데 접이식중에서 다시 찾다보니 키보드 배열이 다들 제가 안맞는 양손이 날개처럼 벌어진 모양이더라구요! 근데 이건 화이트에 접이식이 무게도 150그람정도라는데 진짜 가벼워서 놀랬어요ㅋㅋ
페어링도 잘되고 키 반응속도 치는 그대로 입력됩니다. 일단 매우 만족해요 한달 써보고 다시 후기 올려볼께요ㅋㅋ",['https://phinf.pstatic.net/checkout/20200529_254/1590728926371nK1w0_JPEG/EA7C0FFF-7650-498C-8C73-4F6467C02671.jpeg?type=f287']
4,키보드 자체는 매우 좋아요. 한 뼘이 20센치인 큰 손인데도 불편함은 없고 다만 물음표 치는게 좀 번거롭네요. 그리고 거치대 기능의 케이스는 거치대로 쓰기엔 무리가 있어 보여요. 오래 거치다 보면 패드에 붙인 액정필름이 뜨고 기스도 잘 나더라구요. 파우치 두 겹으로 해서 끼고 패드 끼는데 번거롭고.. 거치대 기능은 생각않고 키보드 자체로만 고려하시는게 좋아요. 키보드 소음은 도서관 수준은 아닙니다. 부드럽고 가볍고 연결이 빠른 점은 추천할 만 합니다.,[]
5,작고 들고다기도 좋아요,"['https://phinf.pstatic.net/checkout/20201019_42/1603113170977aSXEf_JPEG/review-attachment-f95e8718-eef6-4e85-9046-f5d880f5aa55.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201019_65/1603113181797qcGSy_JPEG/review-attachment-c62b0eae-73d1-4ade-b126-009dd420e27b.jpeg?type=f287']"
5,사은품도 블루투스 스피커도 같이주셨네요 이쁘게 잘사용할께요,"['https://phinf.pstatic.net/checkout/20200915_116/1600155215405EOudm_JPEG/review-attachment-585c87e7-c31b-44e3-93f7-7d491ba31831.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200915_117/1600155215499zJDTC_JPEG/review-attachment-733ae7a7-1bb9-4eea-b6f4-f9d1680db590.jpeg?type=f287']"
5,랩탑이랑 연동잘됩니다 여러 대 사용할때 호환이 바로 되었으면 더 좋겠지만 잘 쓰고 있습니다,['https://phinf.pstatic.net/checkout/20201114_220/1605334771956xjfX4_JPEG/review-attachment-6fcaea92-2275-447b-96d9-da965d584968.jpeg?type=f287']
5,"가볍고 연결이 잘되서 편하게 쓸수있어요.
좋네요~~~!!",['https://phinf.pstatic.net/checkout/20201025_246/1603615705670IpAYF_JPEG/review-attachment-3c2d665a-ff7d-4481-8db2-22c261001cf6.jpeg?type=f287']
5,잘 받았어용 배송 빨랐고 가볍고 단단해서 좋아요. 물음표가 아랫줄에 있는 게 지금은 제일 어색한데 적응되겠죠? 다만 타자소리가 생각보단 좀 커서 속기할 땐 시끄러웠어요. 키스킨이 나오면 좋겠어요,['https://phinf.pstatic.net/checkout/20200930_82/1601427428906rPG5f_JPEG/review-attachment-c882cd34-1f1f-4ad3-8dd2-cdb38fcedd77.jpeg?type=f287']
3,"소리가 꽤큰편이고 가끔 오류가 나요
케이스를 씌운채로 충전잭을 꼽을 수가없는건 좀 아쉬워요",['https://phinf.pstatic.net/checkout/20200928_34/1601286706403eiuP9_JPEG/review-attachment-993cf2e2-b41a-44a9-9b98-903bc4e177fe.jpeg?type=f287']
4,굿!! 자판배열이 생소하지만 대체로 만족스럽네요 ^^,['https://phinf.pstatic.net/checkout/20200923_272/1600827427598sApKa_JPEG/review-attachment-170de880-2c3e-43a5-ab5d-6a63e149e92b.jpeg?type=f287']
5,너무 귀엽고 가벼워요 ㅜㅠㅠ 진짜 핵 가볍!! 휴대성은 얘가 최고일거같아요. 스피커도 주셔서 개이득~~!,['https://phinf.pstatic.net/checkout/20200819_115/15978161073926c0IS_JPEG/review-attachment-252db134-fecc-4f21-9843-11b33abd68d8.jpeg?type=f287']
5,가볍고 좋아요. 잘쓸듯요~,['https://phinf.pstatic.net/checkout/20200910_154/1599664516886sL83I_JPEG/review-attachment-c5ba754e-f7fa-4bd2-b967-6e3da9d68268.jpeg?type=f287']
2,휴대용으론 좋지만 키보드가 너무가볍다보니까 잘밀리고 분명하게 누르고싶은 키를 눌렀는데 다른글자가 입력이됩니다.(타자판이 작아서 실수로 누르게된다는 말이 아닙니다.) 몇번써보고 불편해서 지금은 안쓰고있어요..,[]
5,한달 넘게 싸봤는데 너무 가볍고 키보드 쓸때 지연이 전혀 없어요! 브리츠는 스피커만 유명하다 생각해서 로지텍 살랬는데 후회 없는 선택이에요ㅋㅋ,['https://phinf.pstatic.net/checkout/20200708_267/1594199078232rNBpp_JPEG/review-attachment-1cda7cc0-202b-47db-9a49-36c9cef983da.jpeg?type=f287']
4,"같은 디자인의 저렴이 제품은 일자로 안펴진다길래 이건 펴지나 확인 했는데, 펴지네요.",['https://phinf.pstatic.net/checkout/20200722_104/1595392518063dtQEF_JPEG/review-attachment-9d99b8b7-5a9b-43b9-93ff-6b9a796195df.jpeg?type=f287']
5,"접이식으로 휴대하기 편리할거같아
구매했는데 일단 처음봤을때는 좋은거같아요.",['https://phinf.pstatic.net/checkout/20200717_196/1594982723220CMVcI_JPEG/review-attachment-3a70cf2f-c96c-4a22-8aa9-a9edd78228b3.jpeg?type=f287']
5,접이식이라 약간 헐겁긴하지만 가볍고 좋아요일반 키보드보다 작이서 오타는 많이 나지만 익숙해지면 괜찮을듯,['https://phinf.pstatic.net/checkout/20200704_189/1593833372866ul6ku_JPEG/review-attachment-f6bde9cc-0be8-4f77-a89b-cd1b49a89835.jpeg?type=f287']
4,빠르고 상품도 좋군요. 잘 구입했습니다.,[]
5,몇주간 서용해본 결과 노트북같은 타자감이 좋고 접이식이라 자리차지를 많이 안해서 좋아요! 그리고 무게도 진짜 가벼워서 최고임다,[]
5,휴대가 간편하고 핸드폰하고 연결시 한영이 안바뀌네여 키보드에서 변경이 안되는데 왜그런거져,[]
5,깔끔하고 타자 칠때도 불편함 없고 들고다니기도 편해서 좋아요,[]
4,편하긴 한데 자판 위치가 아직 좀 어색해요,[]
4,괜찮네요 많이 파세용,[]
5,완전 좋아요 넘 이쁘고 완전 만족만족,[]
4,키보드를 열심히 치는데 오자가 많네요 ㅠㅠ,[]
5,아주 좋습니다 만족하고 쓰고 있어요,[]
5,좋아요~ 가성비 좋네요!,[]
5,정확하고 빠른 배송,[]
5,쓰기 편하고 간편해서 좋습니다,[]
1,와이파이연결이 잘 안되네요..,[]
5,스피커까지 와서 좋아요^^,[]
4,감사합니다 잘샀네요,[]
5,작고 귀여워여 잘쓸게여. 포토도 받을라구여,[]
5,컴팩트하고 좋습니다. 총알배송 감사해요.,[]
4,우선 휴대하기 너무 좋고 가볍고 예뻐요 호환도 잘 되고 좋네요,[]
4,배송은 3일걸렸고 보던 그대로에요,[]
5,너무 작고 휴대성 갑이에요접으면 진짜 작고...거의 핸폰노트 크기??,[]
4,좋아요~~~~쓸만합니다.,[]
5,블루투스 키보드 찾다가 좋은 것 같아서 샀어요 가로로 접히는 스타일이라 가운데가 약간 어색한 느낌이 있지만 금방 적응했어요 나머진 좋아요 스피커도 사은품으로 주고 좋아요,[]
5,빠르게 안전하게 배송왔습다,[]
5,아주좋아요 감사합니ㅣ,[]
4,"키보드 접히는 위치에서 자판 배열이 좀 불편해여... 왼손으로 치는 키를 오른쫃으로 넘겼어요
그거빼곤 페어링도 잘되고 인식도 좋네요",[]
4,가볍고 케이스랑 거치대 그리고 사은품으로 보내주신 스피커 ! 다좋은데요.. 한영키 전환이 왜 안돼는걸까요? 한영키 키캡은 있지만 눌러도 바뀌지 않네요.. 제품이 불량인건지 제가 제대로 못한건지..ㅠㅠ,[]
4,휴대용 키보드가 필요해서 샀는데 가볍고 좋아요!,[]
5,빠른배송 깨끗한 상품 감사합니다 휴대폰이랑 연결해서 사용하기 좋은 것 같아요 특히 가벼워서 너무 좋아요 지금 후기도 키보드 사용해서 이용 중입니다 감사합니다!!,[]
4,빠른배송 감사합니다,[]
5,소음이 있긴한데 나머지는 괜찮아요,[]
5,좋아요ㅋㅋ가볍고 완전 사이즈도 좋고 스피커도 받앗어요,[]
4,"배송 빠르구요.사은품 좋아요
간격이 있어서 쓰는데 적응이 필요해요",[]
3,가볍습니다. 타격감도 나쁘지 않습니다,[]
